Gender,Age,Academic Stream,Educational Qualification ,Marital Status,Locality,Occupation,Annual Income,"Have you ever experienced any mental health issue?(even if you faced for a short period, tick yes)","In your life, which element has affected your mental health?", [Feeling sad most of the time], [Experienced low self-esteem], [You are willing to do the activities you usually enjoy], [Significant difficulty to fall asleep], [Problems with your work or daily life due to your physical health], [Feeling of giving up], [Relations with others affect your mental health], [Feeling anxious or discomfort around others], [Social media affect your mental health], [Your eating habits were altered in any way],How much time do you spend on social media?,Do you consume any sort of alcohol or smoke?,Tick the major life event which has affected your mental health.,Which of the following mental health disorders do you have or have experienced in the past?,What measures did you take to improve your mental health?,Felt improvement in your mental health after the measures you took.,"Do you have any counsellors in your school, college or surrounding?",Your personal opinion on Mental Health.
Female,20,Science,Graduation,Unmarried,Mangalore,Student,Below 1 lakh,Yes,Emotional,A lot,A lot,Moderately,A little,A little,Moderately,Agree,Agree,Disagree,Neutral,1hr,No,None of the above,Anxiety disorders,Talk about your feelings,Maybe,No,Prioritise it before anything
Male,20,IT,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,32,Commerce,Graduation,Married,Mumbai Suburban,Employed,Below 1 lakh,Yes,Emotional,A little,Moderately,A lot,A little,Never,Never,Disagree,Strongly disagree,Strongly agree,Disagree,Daily 1 hr i guess,No,Loss of job,Nothing like this,"Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,No,
Male,21,Science,HSC (12th std),Unmarried,Thane,Student,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,19,Commerce,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,12,None,Below SSC,Unmarried,Thane,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,40,Commerce,Post Graduation,Married,Thane,Employed,10 and above,Yes,Major life event,Never,A little,Extremely,Never,A little,A little,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,About 10 minutes ,No,Giving birth to my son ,Anxiety disorders,Talk about your feelings,Yes,No,It is very crucial especially in the current pandemic situation we are in. Restrictions on socialising with your friends and family has had a big impact on mental health of all age groups . It is important to talk about your feelings as well listen to others when they share their feelings 
Female,19,Science,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Commerce,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,17,Commerce,HSC (12th std),Unmarried,Thane,Student,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,62,None,HSC (12th std),Married,Mumbai city,Retired,3-5 lakhs,Yes,Major life event,Moderately,Never,Moderately,Extremely,A lot,Never,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,3 hours,No,Death of family member or friend,Anxiety disorders,Visited Psychologists/ consultant/ therapist,Maybe,No,
Female,20,Science,HSC (12th std),Unmarried,Thane,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,Yes,Social,A lot,A lot,A lot,A little,Moderately,A little,Agree,Agree,Neutral,Disagree,A lot ,No,None of the above,"Depression, Anxiety disorders","Visited Psychologists/ consultant/ therapist, Yoga, Talk about your feelings",Yes,Yes,
Male,22,Science,Post Graduation,Unmarried,Dombivli,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,21,Arts,HSC (12th std),Unmarried,Thane,Employed,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,HSC (12th std),Unmarried,Mumbai city,Student,5-8 lakhs,Yes,"Emotional, Social",Moderately,A lot,Moderately,A little,Never,A little,Agree,Neutral,Agree,Agree,2 hrs,No,Issue I have with myself,Anxiety disorders,"Talk about your feelings, Take a break from daily routine",Maybe,No,
Female,36,Arts,Graduation,Married,Thane,Employed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,24,Science,Post Graduation,Unmarried,Germany,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,2,Commerce,HSC (12th std),Unmarried,Mumbai Suburban,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,52,Science,Post Graduation,Married,Town,Employed,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,19,BMS,Graduation,Unmarried,Thane,Student,1-3 lakhs,Yes,"Emotional, Social",Moderately,A lot,Moderately,A lot,Never,A lot,Agree,Agree,Strongly agree,Neutral,4-5 hrs,No,None of the above,Anxiety disorders,"Meditation, Take a break from daily routine",Maybe,No,It’s a huge issue. People should talk about it more often and take it more seriously. 
Male,20,Science,HSC (12th std),Unmarried,Mumbai city,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Commerce,Graduation,Unmarried,Mumbai Suburban,Student,Below 1 lakh,Yes,"Emotional, Social, Major life event",Moderately,A lot,A little,A little,A lot,Moderately,Neutral,Agree,Strongly agree,Agree,4-5 hours,No,"Death of family member or friend, Financial worries","Depression, Anxiety disorders, Eating disorders","Meditation, Yoga, Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,Yes,.
Male,20,Science,HSC (12th std),Unmarried,Thane,Student,8-10 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,Yes,Emotional,A little,A little,Moderately,Never,Never,Never,Agree,Disagree,Strongly disagree,Disagree,2-3 hrs,No,None of the above,None,"Meditation, Yoga",Yes,Yes,
Female,33,Commerce,Post Graduation,Married,Mumbai Suburban,Employed,8-10 lakhs,Yes,Emotional,Moderately,A little,A lot,Never,Moderately,Never,Agree,Strongly agree,Neutral,Neutral,7-8 hrs,No,None of the above,Eating disorders,Take a break from daily routine,Yes,Yes,
Male,20,Commerce,HSC (12th std),Unmarried,Vasai Virar,Student,Below 1 lakh,Yes,"Emotional, Major life event",Never,Never,A lot,Never,Never,Never,Agree,Neutral,Agree,Neutral,1 hour,Yes,Death of family member or friend,Anxiety disorders,Meditation,Yes,No,Talk about it
Female,24,Management ,Graduation,Unmarried,Pune ,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,18,Commerce,Graduation,Unmarried,Thane,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,29,Science,Graduation,Married,Pune,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,35,Arts,Graduation,Married,Pune,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,21,Science,HSC (12th std),Unmarried,Mumbai Suburban,Student,Below 1 lakh,Yes,Emotional,A little,Moderately,Moderately,A little,Moderately,A little,Agree,Agree,Agree,Neutral,2-3 hrs per day ,No,None of the above,Bipolar disorders,"Meditation, Yoga",No,No,"If one experiences any change within himself or herself, he or she must think about it before it becomes a serious issue. We have counsellors, psychologists and psychiatrists, one should visit them if possible.
Talking about mental heath, India is improving with its views on it but still we have people who don't believe in mental health and consider it will 'go away' with time.
Hence, mental health awareness is very crucial today. "
Female,20,Commerce,HSC (12th std),Unmarried,Dombivli,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,19,Arts,HSC (12th std),Unmarried,Mumbai city,Student,3-5 lakhs,Yes,Major life event,A little,A little,Moderately,Never,A little,Never,Neutral,Neutral,Neutral,Agree,4-5 hrs per  day ,No,None of the above,Eating disorders,Talk about your feelings,Maybe,No,
Male,25,Science,Graduation,Unmarried,Rural,Student,1-3 lakhs,Yes,"Emotional, Major life event",A lot,A lot,Moderately,Never,A little,Never,Neutral,Agree,Agree,Neutral,3hrs,No,Financial worries,Depression,"Talk about your feelings, Take a break from daily routine",Yes,No,
Female,19,BMS,Graduation,Unmarried,Mumbai city,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,21,Commerce,Graduation,Unmarried,Mumbai Suburban,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,19,Commerce,HSC (12th std),Unmarried,Pune,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Thane,Student,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,19,Commerce,HSC (12th std),Unmarried,Navi Mumbai,Student,Below 1 lakh,Yes,Emotional,A lot,Extremely,A little,A lot,Never,Extremely,Strongly agree,Strongly agree,Neutral,Neutral,Few hour,No,None of the above,Depression,Play sports,No,No,"No
"
Male,21,Science,Graduation,Unmarried,Thane,Student,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,40,Commerce,Post Graduation,Married,Thane,Employed,10 and above,Yes,Major life event,Never,A little,Extremely,Never,A little,A little,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,About 10 minutes ,No,Giving birth to my son ,Anxiety disorders,Talk about your feelings,Yes,No,It is very crucial especially in the current pandemic situation we are in. Restrictions on socialising with your friends and family has had a big impact on mental health of all age groups . It is important to talk about your feelings as well listen to others when they share their feelings 
Male,20,Science,HSC (12th std),Unmarried,Thane,Student,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,21,Commerce,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,Yes,Emotional,A little,Moderately,A lot,Moderately,Moderately,A little,Neutral,Neutral,Agree,Agree,avg 1 hr,No,None of the above,Anxiety disorders,"Talk about your feelings, Take a break from daily routine",Maybe,No,
Female,21,Arts,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,Yes,Emotional,A little,Moderately,A little,A little,Moderately,A little,Agree,Neutral,Neutral,Disagree,2 hours ,No,None of the above,Depression,"Visited Psychologists/ consultant/ therapist, Talk about your feelings, Take a break from daily routine",Yes,No,
Female,19,Commerce,HSC (12th std),Unmarried,Thane,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,19,Science,HSC (12th std),Unmarried,"Rajkot, Gujarat",Student,8-10 lakhs,Yes,Social,A little,Moderately,A lot,A little,Moderately,A little,Strongly agree,Neutral,Agree,Strongly disagree,2-3 hours per day,No,None of the above,"Anxiety disorders, Bipolar disorders","Talk about your feelings, Take a break from daily routine",Yes,No,"Mental Health is also important and it should be handled like the way we handle our physical health as in when we get injured, or anything similar to that. Mental Health does cause problems in life by affecting our concentration while doing things."
Female,20,Science,Graduation,Unmarried,Thane,Student,3-5 lakhs,Yes,"Emotional, Social",Moderately,A little,A lot,Never,A little,Never,Agree,Neutral,Agree,Agree,7-8 hrs,No,None of the above,Anxiety disorders,"Talk about your feelings, Tried going out for nature campaigns",Yes,Yes,
Female,21,Science,Graduation,Unmarried,Mumbai Suburban,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,56,Commerce,Post Graduation,Married,Rural,Employed,10 and above,No,,,,,,,,,,,,,,,,,,,
Male,21,Science,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,Yes,"Emotional, Social, Major life event",Moderately,A little,Moderately,A little,Never,Never,Neutral,Neutral,Disagree,Neutral,8 hrs,No,"Forced separation from family members, Death of family member or friend, Financial worries","Depression, Eating disorders","Yoga, Talk about your feelings, Take a break from daily routine, Do most what I enjoyed to forget it",Yes,Yes,It's occur to everyone no one is perfect but how and with whom you tackle is important or else it's nothing but an bad habit for whole of your life
Female,20,Science,Graduation,Unmarried,Mumbai city,Student,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,19,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,Yes,"Emotional, Social",Moderately,A little,A lot,Moderately,A little,Moderately,Strongly agree,Neutral,Disagree,Neutral,3 to 4 hrs,No,Financial worries,Anxiety disorders,"Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,No,
Male,20,Science,HSC (12th std),Unmarried,Mumbai city,Student,8-10 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,HSC (12th std),Unmarried,Mumbai Suburban,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,46,Commerce,Post Graduation,Married,Thane,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Graduation,Unmarried,Thane,Student,8-10 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,26,Science,Post Graduation,Unmarried,Pune,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,21,Science,HSC (12th std),Unmarried,Kolkata ,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,HSC (12th std),Unmarried,Mumbai city,Student,1-3 lakhs,Yes,Emotional,Moderately,Never,A lot,A little,A little,A little,Neutral,Disagree,Disagree,Neutral,4- 5 hours,No,None of the above,Depression,Take a break from daily routine,Yes,No,"Mental health is an important aspect of life, it should be taken seriously and all the problems related to it should be taken care off"
Male,19,Science,HSC (12th std),Unmarried,Rajkot,Student,Below 1 lakh,Yes,"Emotional, Social",A little,A little,A lot,A little,Never,A little,Strongly agree,Strongly disagree,Neutral,Disagree,Average 3-4hrs,No,None of the above,No such serious disorders,"Talk about your feelings, Take a break from daily routine",Yes,Yes,It's the most important thing to take care about in life..it matters a lot and can either make a life or destroy a life.
Female,25,Commerce,Post Graduation,Unmarried,Mumbai city,Employed,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,36,Science,Post Graduation,Married,Hyderabad,Employed,Below 1 lakh,Yes,"Emotional, Major life event",Moderately,A little,A little,Moderately,A little,A little,Agree,Disagree,Agree,Agree,1hr,No,Death of family member or friend,"Depression, Anxiety disorders, Eating disorders","Visited Psychologists/ consultant/ therapist, Talk about your feelings, Tried going out for nature campaigns",Yes,No,"Most important aspect of life, surround yourself with lot of positivity"
Female,27,Science,PHD,Married,Mumbai Suburban,Employed,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,39,Science,Graduation,Married,Mumbai Suburban,Employed,10 and above,No,,,,,,,,,,,,,,,,,,,
Male,20,Commerce,HSC (12th std),Unmarried,Mumbai Suburban,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,47,Science,Graduation,Married,Thane,Employed,10 and above,Yes,Major life event,Never,Never,A lot,Never,A little,Never,Neutral,Disagree,Disagree,Agree,Very less,No,An accident or long term injury,Anxiety disorders,"Meditation, Yoga",Yes,No,
Female,50,Science,Graduation,Married,Dharwad,Employed,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,50,Science,Graduation,Married,Dharwad,Employed,10 and above,No,,,,,,,,,,,,,,,,,,,
Male,75,ITI ,HSC (12th std),Married,Solapur ,Retired,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,49,Engineer ,Graduation,Married,Hubli ,Employed,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,70,None,Below SSC,Married,Solapur,Unemployed,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,19,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Thane,Student,10 and above,Yes,Emotional,A little,Never,Moderately,Never,Never,A little,Strongly agree,Disagree,Disagree,Strongly agree,3-4 hrs,No,None of the above,"Depression, Eating disorders","Talk about your feelings, Take a break from daily routine",Yes,Yes,We should never ignore our mental health 
Male,21,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,42,Arts,Post Graduation,Married,Uk,Employed,10 and above,Yes,Emotional,A little,A little,Moderately,Moderately,Never,A little,Neutral,Neutral,Neutral,Disagree,2 hours ,No,Financial worries,Anxiety disorders,"Prescribed medication by Psychiatrist, Meditation, Talk about your feelings, Take a break from daily routine",Yes,Yes,Mental health should never be ignored it does affect a lot in your life 
Female,21,Science,Post Graduation,Unmarried,Mumbai city,Student,5-8 lakhs,Yes,"Emotional, Physical",A little,A little,Moderately,Moderately,A little,Never,Agree,Neutral,Agree,Agree,More than 4  hours ,No,None of the above,Anxiety disorders,"Meditation, Yoga, Talk about your feelings, Take a break from daily routine",Yes,Yes,
Male,20,Commerce,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Commerce,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Arts,Graduation,Unmarried,Thane,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Arts,Graduation,Unmarried,Mumbai city,Student,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Thane,Student,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,43,Arts,HSC (12th std),Married,Thane,Unemployed,Below 1 lakh,Yes,"Emotional, Social",Moderately,A little,A lot,Never,Moderately,Never,Agree,Disagree,Neutral,Agree,3 hour ,No,"Death of family member or friend, Financial worries",Anxiety disorders,"Talk about your feelings, Take a break from daily routine",Yes,No,
Male,48,Science,Post Graduation,Married,Rural,Employed,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,67years,Science,Graduation,Married,Solapur,Retired,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,22,Science,HSC (12th std),Unmarried,Jaipur,Student,Below 1 lakh,Yes,"Emotional, Social, Major life event",A lot,Extremely,A little,Extremely,A lot,A lot,Agree,Agree,Neutral,Agree,2 hours,Yes,Forced separation from family members,"Depression, Eating disorders","Visited Psychologists/ consultant/ therapist, Prescribed medication by Psychiatrist",Maybe,No,
Female,19,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,17,Science,HSC (12th std),Unmarried,Karad,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,19,Science,Graduation,Unmarried,Thane,Student,3-5 lakhs,Yes,Physical,A lot,Moderately,Extremely,Extremely,A lot,A little,Agree,Neutral,Strongly agree,Agree,4 to 5 hrs,No,Financial worries,Depression,"Tried going out for nature campaigns, Take a break from daily routine",Maybe,No,Always unstable.
Male,70,Science,Graduation,Married,Solapur ,Retired,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,28,Science,PHD,Married,Thane,Employed,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,22,Arts,Graduation,Unmarried,Thane,Student,8-10 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Thane,Student,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,33,Commerce,Post Graduation,Married,Thane,Employed,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Jaipur ,Student,Below 1 lakh,Yes,Emotional,A little,A lot,A little,A lot,Extremely,Extremely,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,1 - 3 hrs,No,None of the above,"Depression, Anxiety disorders","Meditation, Yoga",Yes,No,Breaking trust from friendship 
Female,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Thane,Student,5-8 lakhs,Yes,"Emotional, Physical",A little,A little,A little,A little,A little,Never,Disagree,Agree,Agree,Agree,6-8 hours,No,None of the above,Anxiety disorders,"Talk about your feelings, Take a break from daily routine",Yes,No,NORMALISE MENTAL HEALTH. 
Female,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,21,Science,Graduation,Unmarried,Thane,Student,3-5 lakhs,Yes,Emotional,A little,Never,A little,A little,Never,Never,Disagree,Neutral,Disagree,Neutral,1-2 hr,No,None of the above,Anxiety disorders,"Yoga, Tried going out for nature campaigns",Maybe,Yes,
Male,20,Science,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,Yes,"Emotional, Physical, Social, Major life event, Substance use (any kind of addiction)",A little,A little,A little,A little,A little,A little,Agree,Agree,Agree,Agree,3 Hours ,Yes,None of the above,"Depression, Anxiety disorders, Bipolar disorders, Eating disorders, Alcohol use disorder","Visited Psychologists/ consultant/ therapist, Prescribed medication by Psychiatrist, Meditation, Yoga, Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,No,Its just a side affect of our surroundings and our food.
Female,23,Science,Graduation,Unmarried,Pune,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Mumbai city,Student,10 and above,Yes,"Emotional, Physical, Social",A little,A lot,A lot,Never,A little,Never,Strongly agree,Agree,Agree,Strongly disagree,1 to 2 hours,No,None of the above,Anxiety disorders,"Meditation, Talk about your feelings, Take a break from daily routine",Yes,Yes,
Female,21,Science,Graduation,Unmarried,Mumbai Suburban,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,19,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,"Emotional, Major life event",Moderately,A lot,A lot,A little,Never,A lot,Strongly agree,Agree,Strongly agree,Disagree,3 hrs,No,"Death of family member or friend, Financial worries","Depression, Anxiety disorders","Meditation, Tried going out for nature campaigns, Take a break from daily routine",Yes,No,
Female,15,None,Below SSC,Unmarried,Vasai Virar,Student,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,23,Commerce,Graduation,Unmarried,Thane,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,29,Arts,Diploma,Married,Mumbai city,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,21,Commerce,HSC (12th std),Unmarried,Mumbai city,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,57 yrs,Arts,Graduation,Married,Thane,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,19,Science,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,15,None,Below SSC,Unmarried,Mumbai Suburban,Student,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,17,Science,HSC (12th std),Unmarried,Karad,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,57yrs,Arts,Graduation,Married,Thane,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,HSC (12th std),Unmarried,Mumbai city,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,33 yrs,Commerce,Post Graduation,Married,Thane,Employed,8-10 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Graduation,Unmarried,Satara,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Mumbai city,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,40,Science,Post Graduation,Married,Pune,Employed,10 and above,Yes,Emotional,Never,Never,Moderately,Never,A little,A little,Agree,Neutral,Agree,Neutral,2 hours,No,None of the above,Depression,"Meditation, Yoga, Talk about your feelings",Yes,Yes,
Female,20,Science,Graduation,Unmarried,Rural,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,HSC (12th std),Unmarried,Mumbai city,Student,8-10 lakhs,Yes,"Emotional, Physical, Social",A lot,Extremely,A little,Moderately,Extremely,Moderately,Strongly agree,Agree,Agree,Agree,A lot,No,"Forced separation from family members, Financial worries","Depression, Anxiety disorders","Visited Psychologists/ consultant/ therapist, Talk about your feelings",No,No,Very important
Male,20,Science,Graduation,Unmarried,Jaipur,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Post Graduation,Unmarried,Thane,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Graduation,Unmarried,Thane,Student,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,17,Commerce,HSC (12th std),Unmarried,Mumbai city,Student,3-5 lakhs,Yes,Emotional,A lot,A little,Extremely,Extremely,A little,A lot,Strongly agree,Strongly agree,Neutral,Agree,Mostly 2-3hrs,No,None of the above,Depression,Take a break from daily routine,No,Yes,
Male,40,BBA,Graduation,Married,Mumbai city,Employed,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,19,Science,HSC (12th std),Unmarried,Hubli,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,19,Science,Graduation,Unmarried,Kalyan,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,16,Engineering,Diploma,Unmarried,Mumbai Suburban,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Khopoli,Student,Below 1 lakh,Yes,Emotional,A lot,A lot,A little,Never,Moderately,Extremely,Agree,Agree,Neutral,Strongly disagree,5 hours ,No,Issues in family.,Depression,Talk about your feelings,Maybe,Yes,Should be given more importance and taken seriously. 
Female,20,Science,HSC (12th std),Unmarried,Mumbai city,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,21,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,A little,Never,Moderately,Moderately,A little,Never,Neutral,Strongly disagree,Strongly disagree,Disagree,1-2 hours,No,None of the above,"Depression, Anxiety disorders","Visited Psychologists/ consultant/ therapist, Prescribed medication by Psychiatrist",Maybe,No,
Female,19,Commerce,HSC (12th std),Unmarried,Thane,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Mumbai Suburban,Student,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Mumbai Suburban,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,21,Science,Graduation,Unmarried,Vasai Virar,Student,8-10 lakhs,Yes,"Emotional, Physical, Social",A little,A lot,Moderately,A lot,Extremely,Extremely,Disagree,Neutral,Disagree,Agree,8 hours ,Yes,Dont not wish to specify ,Anxiety disorders,"Talk about your feelings, Take a break from daily routine",No,No,
Female,21,Science,Graduation,Unmarried,Navi Mumbai,Student,8-10 lakhs,Yes,"Emotional, Physical, Social",Extremely,Extremely,A little,A little,A little,Extremely,Strongly agree,Strongly agree,Strongly agree,Agree,3h daily,No,None of the above,"Depression, Anxiety disorders, Eating disorders","Yoga, Take a break from daily routine",No,Yes,Its very important and should be encouraged and taught in schools as well.
Female,24,Science,Graduation,Unmarried,Pune,Student,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,19,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,A little,Never,A lot,A little,Never,A little,Neutral,Disagree,Disagree,Disagree,Less than 30 minutes,No,None of the above,Depression,Take a break from daily routine,Yes,No,Most important thing to be concerned about and should be the hot topic for discussion and effective measures should be put in effect as soon as possible
Female,22,Science,Post Graduation,Unmarried,Nashik ,Student,Below 1 lakh,Yes,"Emotional, Physical, Social, Major life event",Moderately,A little,A little,Never,A little,Never,Neutral,Disagree,Neutral,Neutral,4 hours ,No,None of the above,Depression,"Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,Yes,
